path;db_name;id;brand;model;content_source;content_type;media_type;processing;processing_sm;tampering;ngram_2
C:\DB\AI\AI05_KlingAI_KlingAIVideo2.6\AI05_01_synth.mp4;AI;AI05;KlingAI;KlingAIVideo2.6;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrkeyshdlrminfilstfreekeysilstmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgptraksgpdsbgpsmhddinfstblstsdstcosgpdstcoudtastscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI06_KlingAI_KlingAIVideo3.0\AI06_01_synth.mp4;AI;AI06;KlingAI;KlingAIVideo3.0;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiafreemdatftypmoovhdlrkeyshdlrminfilstfreekeysilstmdhdhdlrmdiamdhdmetahdlrminfvmhdmoovmvhdmvhdtrakstblstsdstcoudtastscstszstsdavc1stsscttsstszstcosttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI07_MicrosoftBing_Sora2\AI07_01_synth.mp4;AI;AI07;MicrosoftBing;Sora2;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypuuidhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametauuidmoovvmhddinf
C:\DB\AI\AI07_MicrosoftBing_Sora2\AI07_03_synth.mp4;AI;AI07;MicrosoftBing;Sora2;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypuuidhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametauuidmoovvmhddinf
C:\DB\AI\AI07_MicrosoftBing_Sora2\AI07_05_synth.mp4;AI;AI07;MicrosoftBing;Sora2;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypuuidhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametauuidmoovvmhddinf
C:\DB\AI\AI07_MicrosoftBing_Sora2\AI07_07_synth.mp4;AI;AI07;MicrosoftBing;Sora2;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypuuidhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametauuidmoovvmhddinf
C:\DB\AI\AI07_MicrosoftBing_Sora2\AI07_09_df.mp4;AI;AI07;MicrosoftBing;Sora2;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypuuidhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametauuidmoovvmhddinf
C:\DB\AI\AI08_PikaLabs_Pika1.5\AI08_01_df.mp4;AI;AI08;PikaLabs;Pika1.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI08_PikaLabs_Pika1.5\AI08_03_df.mp4;AI;AI08;PikaLabs;Pika1.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI09_PikaLabs_Pika2.0\AI09_01_df.mp4;AI;AI09;PikaLabs;Pika2.0;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCsttscttsstscdinfdrefdrefstbledtselstelstmdiafreemdatftypfreehdlrilsthdlrminfmdatmoovmdhdhdlrmdiamdhdmetahdlrminfvmhdmoovmvhdmvhdtrakstblstsdstcoudtastscstszstsdavc1stsscttsstszstcosttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI09_PikaLabs_Pika2.0\AI09_03_df.mp4;AI;AI09;PikaLabs;Pika2.0;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCsttscttsstscdinfdrefdrefstbledtselstelstmdiafreemdatftypfreehdlrilsthdlrminfmdatmoovmdhdhdlrmdiamdhdmetahdlrminfvmhdmoovmvhdmvhdtrakstblstsdstcoudtastscstszstsdavc1stsscttsstszstcosttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI10_PikaLabs_Pika2.2\AI10_01_df.mp4;AI;AI10;PikaLabs;Pika2.2;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCsttscttsstscdinfdrefdrefstbledtselstelstmdiafreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfvmhdmoovmvhdmvhdtrakstblstsdstcoudtastscstszstsdavc1stsscttsstszstcosttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI10_PikaLabs_Pika2.2\AI10_03_df.mp4;AI;AI10;PikaLabs;Pika2.2;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCsttscttsstscdinfdrefdrefstbledtselstelstmdiafreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfvmhdmoovmvhdmvhdtrakstblstsdstcoudtastscstszstsdavc1stsscttsstszstcosttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI11_PikaLabs_Pika2.5\AI11_01_synth.mp4;AI;AI11;PikaLabs;Pika2.5;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI11_PikaLabs_Pika2.5\AI11_03_df.mp4;AI;AI11;PikaLabs;Pika2.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI11_PikaLabs_Pika2.5\AI11_05_df.mp4;AI;AI11;PikaLabs;Pika2.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdsbtrtfreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksbgpudtasgpdsbgpsmhddinfstblstsdstcosgpdstcotrakstscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI11_PikaLabs_Pika2.5\AI11_07_synth.mp4;AI;AI11;PikaLabs;Pika2.5;AI_GENERATION;SYNTHETIC;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiafreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfvmhdmoovmvhdmvhdtrakstblstsdstcoudtastscstszstsdavc1stsscttsstszstcosttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI11_PikaLabs_Pika2.5\AI11_09_df.mp4;AI;AI11;PikaLabs;Pika2.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiafreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfvmhdmoovmvhdmvhdtrakstblstsdstcoudtastscstszstsdavc1stsscttsstszstcosttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\AI\AI11_PikaLabs_Pika2.5\AI11_11_df.mp4;AI;AI11;PikaLabs;Pika2.5;MIXED;DEEPFAKE;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCbtrtbtrtsttscttsstscdinfdrefdrefstbledtselstelstmdiafreemdatftypmoovhdlrilsthdlrminfilstfreemdhdhdlrmdiamdhdmetahdlrminfvmhdmoovmvhdmvhdtrakstblstsdstcoudtastscstszstsdavc1stsscttsstszstcosttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\VISION\D01_Samsung_GalaxyS3Mini\flat\D01_V_flat_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCsttsdinfdrefdrefstblesdssttsftypmdathdlrminfmdatmoovmdhdhdlrmdiamdhdminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdudtasmhddinfsmrdsmtasmtatrakstblstsdstcotrakstscstcostsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdudtasmrdvmhddinf
C:\DB\VISION\D01_Samsung_GalaxyS3Mini\flatWA\D01_V_flatWA_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;WHATSAPP;True;NATIVE;avc1avcCavcCcolrbeamwidecolrsttsdinfdrefdrefstblesdssttsfreemdiaftypbeamhdlrminfmdhdhdlrmdiamdhdminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksdtpstscsmhddinfstblstsdstcomdatstcotrakstscstszstsdavc1stsdmp4astsssdtpstszstcosttsstscsttsstsstkhdfreetraktkhdvmhddinfwidemoov
C:\DB\VISION\D01_Samsung_GalaxyS3Mini\flatYT\D01_V_flatYT_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;FLAT;MP4;YOUTUBE;True;NATIVE;avc1avcCavcCsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdssttsfreemdatftypfreehdlrilsthdlrminfmdatmoovmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksmhddinfstblstsdstcotrakstcoudtastscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\VISION\D01_Samsung_GalaxyS3Mini\indoor\D01_V_indoor_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCsttsdinfdrefdrefstblesdssttsftypmdathdlrminfmdatmoovmdhdhdlrmdiamdhdminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdudtasmhddinfsmrdsmtasmtatrakstblstsdstcotrakstscstcostsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdudtasmrdvmhddinf
C:\DB\VISION\D01_Samsung_GalaxyS3Mini\indoorWA\D01_V_indoorWA_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;WHATSAPP;True;NATIVE;avc1avcCavcCcolrbeamwidecolrsttsdinfdrefdrefstblesdssttsfreemdiaftypbeamhdlrminfmdhdhdlrmdiamdhdminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksdtpstscsmhddinfstblstsdstcomdatstcotrakstscstszstsdavc1stsdmp4astsssdtpstszstcosttsstscsttsstsstkhdfreetraktkhdvmhddinfwidemoov
C:\DB\VISION\D01_Samsung_GalaxyS3Mini\indoorYT\D01_V_indoorYT_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;YOUTUBE;True;NATIVE;avc1avcCavcCsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdssttsfreemdatftypfreehdlrilsthdlrminfmdatmoovmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksmhddinfstblstsdstcotrakstcoudtastscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\VISION\D01_Samsung_GalaxyS3Mini\outdoor\D01_V_outdoor_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;OUTDOOR;MP4;ORIGINAL;False;NATIVE;avc1avcCavcCsttsdinfdrefdrefstblesdssttsftypmdathdlrminfmdatmoovmdhdhdlrmdiamdhdminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdudtasmhddinfsmrdsmtasmtatrakstblstsdstcotrakstscstcostsdavc1stsdmp4astssstszstszstscsttsstsssttsstsztkhdmdiatraktkhdudtasmrdvmhddinf
C:\DB\VISION\D01_Samsung_GalaxyS3Mini\outdoorWA\D01_V_outdoorWA_move_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;OUTDOOR;MP4;WHATSAPP;True;NATIVE;avc1avcCavcCcolrbeamwidecolrsttsdinfdrefdrefstblesdssttsfreemdiaftypbeamhdlrminfmdhdhdlrmdiamdhdminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksdtpstscsmhddinfstblstsdstcomdatstcotrakstscstszstsdavc1stsdmp4astsssdtpstszstcosttsstscsttsstsstkhdfreetraktkhdvmhddinfwidemoov
C:\DB\VISION\D01_Samsung_GalaxyS3Mini\outdoorYT\D01_V_outdoorYT_panrot_0001.mp4;VISION;D01;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;OUTDOOR;MP4;YOUTUBE;True;NATIVE;avc1avcCavcCsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdssttsfreemdatftypfreehdlrilsthdlrminfmdatmoovmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksmhddinfstblstsdstcotrakstcoudtastscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\VISION\D02_Apple_iPhone4s\flat\D02_V_flat_move_0001.mov;VISION;D02;Apple;iPhone4s;DIGITAL_CAMERA;FLAT;MOV;ORIGINAL;False;NATIVE;avc1avcCavcCcolrchanwavecolrsttsdinfdrefdrefstbledtselstelstmdiaesdssttsfreemetafrmamp4aftypwidehdlrdinfhdlrkeyshdlrminfilstfreeilsttrakkeysilstmdatmoovmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4achanmp4aesdsmvhdtraksdtpstscsmhdhdlrstblstsdstcometastcoudtastscstszstsdavc1stsdmp4astsssdtpstszstcosttsstscsttsstsstaptedtstkhdedtstkhdtapttraktkhdudta©modvmhdhdlrwavefrmawidemdat©day©xyz©makfree©mod©swr©swr©day©xyz©mak
C:\DB\VISION\D02_Apple_iPhone4s\flatWA\D02_V_flatWA_move_0001.mp4;VISION;D02;Apple;iPhone4s;DIGITAL_CAMERA;FLAT;MP4;WHATSAPP;True;NATIVE;avc1avcCavcCcolrbeamwidecolrsttsdinfdrefdrefstblesdssttsfreemdiaftypbeamhdlrminfmdhdhdlrmdiamdhdminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksdtpstscsmhddinfstblstsdstcomdatstcotrakstscstszstsdavc1stsdmp4astsssdtpstszstcosttsstscsttsstsstkhdfreetraktkhdvmhddinfwidemoov
C:\DB\VISION\D02_Apple_iPhone4s\flatYT\D02_V_flatYT_move_0001.mp4;VISION;D02;Apple;iPhone4s;DIGITAL_CAMERA;FLAT;MP4;YOUTUBE;True;NATIVE;avc1avcCavcCsttscttsstscdinfdrefdrefstbledtselstelstmdiaesdssttsfreemdatftypfreehdlrilsthdlrminfmdatmoovmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4aesdsmvhdtraksmhddinfstblstsdstcotrakstcoudtastscstszstsdavc1stsdmp4astsscttsstszstcosttsstscsttsstsstkhdedtstraktkhdudtametavmhddinf
C:\DB\VISION\D02_Apple_iPhone4s\indoor\D02_V_indoor_move_0001.mov;VISION;D02;Apple;iPhone4s;DIGITAL_CAMERA;INDOOR;MOV;ORIGINAL;False;NATIVE;avc1avcCavcCcolrchanwavecolrsttsdinfdrefdrefstbledtselstelstmdiaesdssttsfreemetafrmamp4aftypwidehdlrdinfhdlrkeyshdlrminfilstfreeilsttrakkeysilstmdatmoovmdhdhdlrmdiamdhdmetahdlrminfsmhdminfvmhdmoovmvhdmp4achanmp4aesdsmvhdtraksdtpstscsmhdhdlrstblstsdstcometastcoudtastscstszstsdavc1stsdmp4astsssdtpstszstcosttsstscsttsstsstaptedtstkhdedtstkhdtapttraktkhdudta©modvmhdhdlrwavefrmawidemdat©day©xyz©makfree©mod©swr©swr©day©xyz©mak
