path;db_name;id;brand;model;content_source;content_type;media_type;processing;processing_sm;tampering
C:\DB\EVA-7K\non-SN\subset_avidemux\D13_V_outdoor_move_0002.mp4;EVA-7K;D13;Apple;iPad2;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D14_V_indoor_move_0001.mp4;EVA-7K;D14;Apple;iPhone5c;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D14_V_indoor_move_0002.mp4;EVA-7K;D14;Apple;iPhone5c;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D14_V_outdoor_move_0001.mp4;EVA-7K;D14;Apple;iPhone5c;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D14_V_outdoor_move_0002.mp4;EVA-7K;D14;Apple;iPhone5c;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D15_V_indoor_move_0001.mp4;EVA-7K;D15;Apple;iPhone6;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D15_V_indoor_move_0002.mp4;EVA-7K;D15;Apple;iPhone6;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D15_V_outdoor_move_0001.mp4;EVA-7K;D15;Apple;iPhone6;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D15_V_outdoor_move_0002.mp4;EVA-7K;D15;Apple;iPhone6;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D16_V_indoor_move_0001.mp4;EVA-7K;D16;Huawei;P9lite;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D16_V_indoor_move_0002.mp4;EVA-7K;D16;Huawei;P9lite;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D16_V_outdoor_move_0001.mp4;EVA-7K;D16;Huawei;P9lite;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D16_V_outdoor_move_0002.mp4;EVA-7K;D16;Huawei;P9lite;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D17_V_indoor_move_0001.mp4;EVA-7K;D17;Microsoft;Lumia640LTE;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D17_V_indoor_panrot_0001.mp4;EVA-7K;D17;Microsoft;Lumia640LTE;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D17_V_outdoor_move_0001.mp4;EVA-7K;D17;Microsoft;Lumia640LTE;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D17_V_outdoor_panrot_0001.mp4;EVA-7K;D17;Microsoft;Lumia640LTE;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D18_V_indoor_move_0001.mp4;EVA-7K;D18;Apple;iPhone5c;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D18_V_indoor_panrot_0001.mp4;EVA-7K;D18;Apple;iPhone5c;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D18_V_outdoor_move_0001.mp4;EVA-7K;D18;Apple;iPhone5c;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D18_V_outdoor_panrot_0001.mp4;EVA-7K;D18;Apple;iPhone5c;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D19_V_indoor_move_0001.mp4;EVA-7K;D19;Apple;iPhone6Plus;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D19_V_indoor_move_0002.mp4;EVA-7K;D19;Apple;iPhone6Plus;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D19_V_outdoor_move_0001.mp4;EVA-7K;D19;Apple;iPhone6Plus;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D19_V_outdoor_move_0002.mp4;EVA-7K;D19;Apple;iPhone6Plus;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D20_V_indoor_move_0001.mp4;EVA-7K;D20;Apple;iPadmini;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D20_V_indoor_move_0002.mp4;EVA-7K;D20;Apple;iPadmini;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D20_V_outdoor_move_0001.mp4;EVA-7K;D20;Apple;iPadmini;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D20_V_outdoor_move_0002.mp4;EVA-7K;D20;Apple;iPadmini;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D21_V_indoor_move_0001.mp4;EVA-7K;D21;Wiko;Ridge4G;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D21_V_indoor_panrot_0001.mp4;EVA-7K;D21;Wiko;Ridge4G;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D21_V_outdoor_move_0001.mp4;EVA-7K;D21;Wiko;Ridge4G;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D21_V_outdoor_panrot_0001.mp4;EVA-7K;D21;Wiko;Ridge4G;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D22_V_indoor_move_0001.mp4;EVA-7K;D22;Samsung;GalaxyTrendPlus;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D22_V_indoor_move_0002.mp4;EVA-7K;D22;Samsung;GalaxyTrendPlus;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D22_V_outdoor_move_0001.mp4;EVA-7K;D22;Samsung;GalaxyTrendPlus;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D22_V_outdoor_move_0002.mp4;EVA-7K;D22;Samsung;GalaxyTrendPlus;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D23_V_indoor_move_0001.mp4;EVA-7K;D23;Asus;Zenfone2Laser;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D23_V_indoor_move_0002.mp4;EVA-7K;D23;Asus;Zenfone2Laser;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D23_V_outdoor_move_0001.mp4;EVA-7K;D23;Asus;Zenfone2Laser;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D23_V_outdoor_move_0002.mp4;EVA-7K;D23;Asus;Zenfone2Laser;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D24_V_indoor_move_0001.mp4;EVA-7K;D24;Xiaomi;RedmiNote3;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D24_V_indoor_move_0002.mp4;EVA-7K;D24;Xiaomi;RedmiNote3;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D24_V_outdoor_move_0001.mp4;EVA-7K;D24;Xiaomi;RedmiNote3;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D24_V_outdoor_move_0002.mp4;EVA-7K;D24;Xiaomi;RedmiNote3;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D25_V_indoor_move_0001.mp4;EVA-7K;D25;OnePlus;A3000;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D25_V_indoor_move_0002.mp4;EVA-7K;D25;OnePlus;A3000;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D25_V_outdoor_move_0001.mp4;EVA-7K;D25;OnePlus;A3000;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D25_V_outdoor_move_0002.mp4;EVA-7K;D25;OnePlus;A3000;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D26_V_indoor_move_0001.mp4;EVA-7K;D26;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D26_V_indoor_move_0002.mp4;EVA-7K;D26;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D26_V_outdoor_move_0001.mp4;EVA-7K;D26;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D26_V_outdoor_move_0002.mp4;EVA-7K;D26;Samsung;GalaxyS3Mini;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D27_V_indoor_move_0001.mp4;EVA-7K;D27;Samsung;GalaxyS5;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D27_V_indoor_move_0002.mp4;EVA-7K;D27;Samsung;GalaxyS5;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D27_V_outdoor_move_0001.mp4;EVA-7K;D27;Samsung;GalaxyS5;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D27_V_outdoor_move_0002.mp4;EVA-7K;D27;Samsung;GalaxyS5;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D28_V_indoor_move_0001.mp4;EVA-7K;D28;Huawei;P89;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D28_V_indoor_move_0002.mp4;EVA-7K;D28;Huawei;P89;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D28_V_outdoor_move_0001.mp4;EVA-7K;D28;Huawei;P89;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D28_V_outdoor_move_0002.mp4;EVA-7K;D28;Huawei;P89;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D29_V_indoor_move_0001.mp4;EVA-7K;D29;Apple;iPhone5;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D29_V_indoor_move_0002.mp4;EVA-7K;D29;Apple;iPhone5;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D29_V_outdoor_move_0001.mp4;EVA-7K;D29;Apple;iPhone5;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D29_V_outdoor_move_0002.mp4;EVA-7K;D29;Apple;iPhone5;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D30_V_indoor_move_0001.mp4;EVA-7K;D30;Huawei;Honor5;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D30_V_indoor_move_0002.mp4;EVA-7K;D30;Huawei;Honor5;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D30_V_outdoor_move_0001.mp4;EVA-7K;D30;Huawei;Honor5;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D30_V_outdoor_move_0002.mp4;EVA-7K;D30;Huawei;Honor5;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D31_V_indoor_move_0001.mp4;EVA-7K;D31;Samsung;GalaxyS4Mini;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D31_V_indoor_move_0002.mp4;EVA-7K;D31;Samsung;GalaxyS4Mini;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D31_V_outdoor_move_0001.mp4;EVA-7K;D31;Samsung;GalaxyS4Mini;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D31_V_outdoor_move_0002.mp4;EVA-7K;D31;Samsung;GalaxyS4Mini;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D32_V_indoor_move_0001.mp4;EVA-7K;D32;OnePlus;A3003;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D32_V_indoor_move_0002.mp4;EVA-7K;D32;OnePlus;A3003;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D32_V_outdoor_move_0001.mp4;EVA-7K;D32;OnePlus;A3003;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D32_V_outdoor_move_0002.mp4;EVA-7K;D32;OnePlus;A3003;DIGITAL_CAMERA;OUTDOOR;MP4;NON-SN;False;AVIDEMUX
C:\DB\EVA-7K\non-SN\subset_avidemux\D33_V_indoor_move_0001.mp4;EVA-7K;D33;Huawei;AscendG6;DIGITAL_CAMERA;INDOOR;MP4;NON-SN;False;AVIDEMUX
